id,text,rating,sentiment,date,product,user_id,user_name,phone
15,"Возвращаю товар. Качество ужасное, заявленным не соответствует.",2,0.0,2026-04-16,Мышь Logitech G502,13,Фёдоров Ирина,+79886743066
16,"Прекрасная покупка, всё как заявлено. Качество отменное.",5,1.0,2026-04-17,Наушники Sony WH-1000XM5,5,Сидоров Ирина,+79828204212
17,Превосходно! Давно искал такой товар по хорошей цене.,4,1.0,2026-05-03,Клавиатура HyperX Alloy,8,Лебедев Павел,+79872766891
18,"Очень плохо. Товар пришёл повреждённый, качество нулевое.",1,0.0,2026-04-30,Веб-камера Logitech C920,18,Зайцев Андрей,+79509242680
19,"Сломался сразу после получения. Качество нулевое, брак.",2,0.0,2026-05-03,Колонка JBL Flip 6,14,Морозов Алексей,+79587113790
20,"Супер товар! Полностью соответствует описанию, работает идеально.",5,1.0,2026-04-08,Наушники Sony WH-1000XM5,12,Кузнецов Павел,+79756664789
21,"Доволен покупкой, всё работает как надо. Хорошее качество!",4,1.0,2026-03-30,Ноутбук Lenovo IdeaPad 3,17,Смирнов Владимир,+79466147581
22,"Рекомендую всем! Быстрая доставка, упаковка целая, товар соответствует описанию.",4,1.0,2026-03-31,Ноутбук Lenovo IdeaPad 3,25,Сидоров Екатерина,+79082465689
23,"Качество порадовало, цена тоже. Рекомендую всем без исключения.",5,1.0,2026-05-02,Наушники Sony WH-1000XM5,5,Сидоров Ирина,+79828204212
24,"Очень хороший товар. Доволен, буду покупать ещё раз.",4,1.0,2026-04-07,Колонка JBL Flip 6,26,Волков Светлана,+79522825665
25,Товар не соответствует описанию. Полный обман покупателей!,1,0.0,2026-03-17,Колонка JBL Flip 6,20,Козлов Мария,+79503663046
26,"Обычный товар, ничем особенно не выделяется среди других.",3,,2026-04-17,Мышь Logitech G502,13,Фёдоров Ирина,+79886743066
27,"Прекрасная покупка, всё как заявлено. Качество отменное.",5,1.0,2026-03-28,Клавиатура HyperX Alloy,17,Смирнов Владимир,+79466147581
28,"Отличный товар! Качество на высшем уровне, полностью доволен покупкой.",4,1.0,2026-04-14,Ноутбук Lenovo IdeaPad 3,28,Лебедев Михаил,+79435997895
29,"Отлично! Именно то, что искал. Доволен на все 100%.",4,1.0,2026-04-06,Планшет Apple iPad 10,22,Морозов Дмитрий,+79387640913
30,"Возвращаю товар. Качество ужасное, заявленным не соответствует.",2,0.0,2026-04-27,Телевизор LG OLED55C3,25,Сидоров Екатерина,+79082465689
31,"Нравится! Удобный, качественный, буду заказывать ещё.",5,1.0,2026-05-06,Колонка JBL Flip 6,4,Козлов Екатерина,+79203234489
32,"Хороший товар, качество соответствует цене. Всем рекомендую.",4,1.0,2026-04-27,Смартфон Samsung Galaxy A54,6,Кузнецов Дмитрий,+79235523669
33,Превосходно! Давно искал такой товар по хорошей цене.,4,1.0,2026-05-02,Планшет Apple iPad 10,24,Козлов Елена,+79594385357
34,"Отличная покупка. Работает без нареканий, качество достойное.",5,1.0,2026-04-15,Наушники Sony WH-1000XM5,17,Смирнов Владимир,+79466147581
35,"Ужасное качество! Вернул обратно, очевидный брак.",1,0.0,2026-04-28,Планшет Apple iPad 10,17,Смирнов Владимир,+79466147581
36,Среднее впечатление. Ожидал немного большего от покупки.,3,,2026-04-09,Клавиатура HyperX Alloy,27,Соколов Ирина,+79835056518
37,"Очень доволен! Качество отличное, доставка быстрая.",4,1.0,2026-03-20,Наушники Sony WH-1000XM5,20,Козлов Мария,+79503663046
38,"Отличная покупка. Работает без нареканий, качество достойное.",4,1.0,2026-05-07,Наушники Sony WH-1000XM5,12,Кузнецов Павел,+79756664789
39,"Отличная покупка. Работает без нареканий, качество достойное.",5,1.0,2026-04-18,Клавиатура HyperX Alloy,18,Зайцев Андрей,+79509242680
40,"Отличный товар! Качество на высшем уровне, полностью доволен покупкой.",4,1.0,2026-04-26,Веб-камера Logitech C920,30,Волков Михаил,+79772870928
41,"Доволен покупкой, всё работает как надо. Хорошее качество!",5,1.0,2026-04-05,Смартфон Samsung Galaxy A54,11,Лебедев Екатерина,+79202262752
42,"Товар пришёл быстро, качество на уровне. Очень доволен.",5,1.0,2026-05-04,Планшет Apple iPad 10,4,Козлов Екатерина,+79203234489
43,"Товар нормальный, но ожидал большего за эту цену.",3,,2026-04-19,Умные часы Xiaomi Mi Band 8,8,Лебедев Павел,+79872766891
44,"Покупкой очень доволен. Качество хорошее, доставка быстрая.",5,1.0,2026-03-30,Ноутбук Lenovo IdeaPad 3,29,Петров Павел,+79467397986
45,Превосходно! Давно искал такой товар по хорошей цене.,5,1.0,2026-03-15,Мышь Logitech G502,3,Новиков Николай,+79715304572
46,Товар не соответствует описанию. Полный обман покупателей!,2,0.0,2026-04-13,Клавиатура HyperX Alloy,27,Соколов Ирина,+79835056518
47,"Замечательная покупка! Пользуюсь уже месяц, никаких нареканий.",5,1.0,2026-03-28,Наушники Sony WH-1000XM5,25,Сидоров Екатерина,+79082465689
48,"Доволен покупкой, всё работает как надо. Хорошее качество!",4,1.0,2026-04-30,Клавиатура HyperX Alloy,22,Морозов Дмитрий,+79387640913
49,"Удовлетворительно. Не плохо, но и не хорошо.",3,,2026-03-17,Клавиатура HyperX Alloy,6,Кузнецов Дмитрий,+79235523669
50,"Прекрасная вещь! Работает идеально, качество отменное.",5,1.0,2026-04-02,Колонка JBL Flip 6,28,Лебедев Михаил,+79435997895
51,"Отлично! Именно то, что искал. Доволен на все 100%.",5,1.0,2026-05-10,Умные часы Xiaomi Mi Band 8,7,Иванов Михаил,+79525981505
52,"Удовлетворительно. Не плохо, но и не хорошо.",3,,2026-03-15,Колонка JBL Flip 6,23,Фёдоров Екатерина,+79034416664
53,"Качество порадовало, цена тоже. Рекомендую всем без исключения.",5,1.0,2026-03-31,Телевизор LG OLED55C3,22,Морозов Дмитрий,+79387640913
54,Нормальное качество для этой ценовой категории товаров.,3,,2026-05-05,Мышь Logitech G502,15,Попов Ольга,+79415721339
55,"Супер товар! Полностью соответствует описанию, работает идеально.",4,1.0,2026-05-02,Умные часы Xiaomi Mi Band 8,4,Козлов Екатерина,+79203234489
56,Лучший товар в своём классе! Рекомендую без сомнений.,4,1.0,2026-04-08,Смартфон Samsung Galaxy A54,3,Новиков Николай,+79715304572
57,"Не рекомендую никому. Брак, ужас, разочарование полное.",2,0.0,2026-03-28,Умные часы Xiaomi Mi Band 8,19,Сидоров Елена,+79023428388
58,"Нормально, но есть и лучше варианты на рынке.",3,,2026-03-13,Смартфон Samsung Galaxy A54,19,Сидоров Елена,+79023428388
59,"Сойдёт. Качество нормальное, ничего выдающегося нет.",3,,2026-04-09,Смартфон Samsung Galaxy A54,3,Новиков Николай,+79715304572
60,"Купил уже второй раз — всегда доволен. Качество стабильное, цена разумная.",4,1.0,2026-03-20,Смартфон Samsung Galaxy A54,8,Лебедев Павел,+79872766891
61,Лучший товар в своём классе! Рекомендую без сомнений.,4,1.0,2026-03-23,Ноутбук Lenovo IdeaPad 3,28,Лебедев Михаил,+79435997895
62,"Нормально, но есть и лучше варианты на рынке.",3,,2026-04-29,Планшет Apple iPad 10,17,Смирнов Владимир,+79466147581
63,"Пойдёт. Не восторг, но и не разочарование.",3,,2026-05-09,Умные часы Xiaomi Mi Band 8,22,Морозов Дмитрий,+79387640913
64,"Замечательная покупка! Пользуюсь уже месяц, никаких нареканий.",5,1.0,2026-04-04,Веб-камера Logitech C920,18,Зайцев Андрей,+79509242680
65,"Пойдёт. Не восторг, но и не разочарование.",3,,2026-04-24,Умные часы Xiaomi Mi Band 8,19,Сидоров Елена,+79023428388
66,"Пойдёт. Не восторг, но и не разочарование.",3,,2026-05-09,Колонка JBL Flip 6,26,Волков Светлана,+79522825665
67,"Превосходное качество за свои деньги. Доставили быстро, всё работает отлично.",4,1.0,2026-03-18,Ноутбук Lenovo IdeaPad 3,7,Иванов Михаил,+79525981505
68,"Плохое качество, сожалею о покупке. Не берите этот товар!",1,0.0,2026-04-09,Телевизор LG OLED55C3,22,Морозов Дмитрий,+79387640913
69,"Работает прекрасно, доволен покупкой. Буду советовать друзьям.",5,1.0,2026-04-22,Мышь Logitech G502,14,Морозов Алексей,+79587113790
70,Превосходно! Давно искал такой товар по хорошей цене.,5,1.0,2026-03-19,Смартфон Samsung Galaxy A54,28,Лебедев Михаил,+79435997895
71,"Качество порадовало, цена тоже. Рекомендую всем без исключения.",4,1.0,2026-04-09,Ноутбук Lenovo IdeaPad 3,22,Морозов Дмитрий,+79387640913
72,Отличное соотношение цена/качество. Покупкой доволен на 100%.,4,1.0,2026-03-17,Телевизор LG OLED55C3,2,Морозов Павел,+79147550634
73,"Превосходное качество за свои деньги. Доставили быстро, всё работает отлично.",5,1.0,2026-04-30,Умные часы Xiaomi Mi Band 8,26,Волков Светлана,+79522825665
74,"Очень доволен! Качество отличное, доставка быстрая.",4,1.0,2026-04-24,Клавиатура HyperX Alloy,7,Иванов Михаил,+79525981505
75,"Замечательная покупка! Пользуюсь уже месяц, никаких нареканий.",5,1.0,2026-04-17,Колонка JBL Flip 6,15,Попов Ольга,+79415721339
76,"Прекрасная покупка, всё как заявлено. Качество отменное.",4,1.0,2026-04-07,Мышь Logitech G502,6,Кузнецов Дмитрий,+79235523669
77,"Купил уже второй раз — всегда доволен. Качество стабильное, цена разумная.",4,1.0,2026-04-30,Мышь Logitech G502,8,Лебедев Павел,+79872766891
78,"Отлично! Именно то, что искал. Доволен на все 100%.",5,1.0,2026-04-25,Ноутбук Lenovo IdeaPad 3,26,Волков Светлана,+79522825665
79,"Качество порадовало, цена тоже. Рекомендую всем без исключения.",5,1.0,2026-03-12,Клавиатура HyperX Alloy,2,Морозов Павел,+79147550634
80,"Отличный товар! Качество на высшем уровне, полностью доволен покупкой.",4,1.0,2026-04-25,Ноутбук Lenovo IdeaPad 3,27,Соколов Ирина,+79835056518
81,"Не покупайте! Сломался быстро, качество никудышное.",1,0.0,2026-04-21,Умные часы Xiaomi Mi Band 8,30,Волков Михаил,+79772870928
82,"Средний товар. Ни плохой, ни хороший, обычный.",3,,2026-04-05,Мышь Logitech G502,6,Кузнецов Дмитрий,+79235523669
83,"Качество отвратительное, не покупайте! Брак и ещё раз брак.",1,0.0,2026-05-08,Колонка JBL Flip 6,16,Зайцев Артём,+79794275709
84,"Рекомендую всем! Быстрая доставка, упаковка целая, товар соответствует описанию.",5,1.0,2026-04-21,Наушники Sony WH-1000XM5,29,Петров Павел,+79467397986
85,"Отличный товар! Качество на высшем уровне, полностью доволен покупкой.",4,1.0,2026-03-20,Колонка JBL Flip 6,13,Фёдоров Ирина,+79886743066
86,"Хороший товар, качество соответствует цене. Всем рекомендую.",5,1.0,2026-04-01,Планшет Apple iPad 10,9,Борисов Светлана,+79297019877
87,Всё пришло быстро и в отличном состоянии. Товар понравился.,4,1.0,2026-04-23,Клавиатура HyperX Alloy,14,Морозов Алексей,+79587113790
88,Всё пришло быстро и в отличном состоянии. Товар понравился.,5,1.0,2026-04-30,Мышь Logitech G502,22,Морозов Дмитрий,+79387640913
89,"Нормально, но есть и лучше варианты на рынке.",3,,2026-04-16,Планшет Apple iPad 10,5,Сидоров Ирина,+79828204212
90,"Товар нормальный, но ожидал большего за эту цену.",3,,2026-04-10,Веб-камера Logitech C920,7,Иванов Михаил,+79525981505
91,"Отлично! Именно то, что искал. Доволен на все 100%.",5,1.0,2026-04-06,Смартфон Samsung Galaxy A54,24,Козлов Елена,+79594385357
92,"Так себе. Ожидал лучшего, но и хуже бывает.",3,,2026-04-25,Смартфон Samsung Galaxy A54,24,Козлов Елена,+79594385357
93,"Покупкой очень доволен. Качество хорошее, доставка быстрая.",5,1.0,2026-03-15,Мышь Logitech G502,2,Морозов Павел,+79147550634
94,Замечательный товар за свою цену. Буду покупать ещё!,4,1.0,2026-03-23,Наушники Sony WH-1000XM5,17,Смирнов Владимир,+79466147581
95,Нормальное качество для этой ценовой категории товаров.,3,,2026-03-24,Ноутбук Lenovo IdeaPad 3,2,Морозов Павел,+79147550634
96,"Великолепный товар, превзошёл ожидания. Советую к покупке!",5,1.0,2026-05-06,Ноутбук Lenovo IdeaPad 3,28,Лебедев Михаил,+79435997895
97,"Купил уже второй раз — всегда доволен. Качество стабильное, цена разумная.",5,1.0,2026-03-13,Умные часы Xiaomi Mi Band 8,20,Козлов Мария,+79503663046
98,"Ужасное качество! Вернул обратно, очевидный брак.",2,0.0,2026-03-31,Веб-камера Logitech C920,13,Фёдоров Ирина,+79886743066
99,"Обычный товар, ничем особенно не выделяется среди других.",3,,2026-03-24,Веб-камера Logitech C920,8,Лебедев Павел,+79872766891
100,"Прекрасная вещь! Работает идеально, качество отменное.",5,1.0,2026-04-21,Ноутбук Lenovo IdeaPad 3,2,Морозов Павел,+79147550634
101,"Очень хороший товар. Доволен, буду покупать ещё раз.",5,1.0,2026-03-16,Веб-камера Logitech C920,14,Морозов Алексей,+79587113790
102,Замечательный товар за свою цену. Буду покупать ещё!,5,1.0,2026-03-20,Телевизор LG OLED55C3,19,Сидоров Елена,+79023428388
103,"Очень плохо. Товар пришёл повреждённый, качество нулевое.",1,0.0,2026-05-03,Умные часы Xiaomi Mi Band 8,30,Волков Михаил,+79772870928
104,Всё пришло быстро и в отличном состоянии. Товар понравился.,5,1.0,2026-04-01,Телевизор LG OLED55C3,22,Морозов Дмитрий,+79387640913
105,"Прекрасная покупка, всё как заявлено. Качество отменное.",4,1.0,2026-04-06,Колонка JBL Flip 6,8,Лебедев Павел,+79872766891
106,"Очень хороший товар. Доволен, буду покупать ещё раз.",4,1.0,2026-04-16,Планшет Apple iPad 10,5,Сидоров Ирина,+79828204212
107,Лучший товар в своём классе! Рекомендую без сомнений.,5,1.0,2026-04-12,Ноутбук Lenovo IdeaPad 3,15,Попов Ольга,+79415721339
108,"Пойдёт. Не восторг, но и не разочарование.",3,,2026-03-26,Веб-камера Logitech C920,1,Козлов Алексей,+79517423388
109,"Превосходное качество за свои деньги. Доставили быстро, всё работает отлично.",4,1.0,2026-03-18,Ноутбук Lenovo IdeaPad 3,19,Сидоров Елена,+79023428388
110,"Очень доволен! Качество отличное, доставка быстрая.",4,1.0,2026-03-31,Клавиатура HyperX Alloy,18,Зайцев Андрей,+79509242680
111,"Не рекомендую! Потратил деньги зря, полный кошмар.",2,0.0,2026-05-07,Телевизор LG OLED55C3,9,Борисов Светлана,+79297019877
112,"Среднее качество. Соответствует своей цене, не более того.",3,,2026-04-20,Умные часы Xiaomi Mi Band 8,29,Петров Павел,+79467397986
113,Полная ерунда! Не советую никому тратить деньги на это.,2,0.0,2026-03-16,Наушники Sony WH-1000XM5,12,Кузнецов Павел,+79756664789
114,"Отлично! Именно то, что искал. Доволен на все 100%.",4,1.0,2026-05-04,Планшет Apple iPad 10,15,Попов Ольга,+79415721339
115,"Качество порадовало, цена тоже. Рекомендую всем без исключения.",5,1.0,2026-04-08,Клавиатура HyperX Alloy,20,Козлов Мария,+79503663046
116,"Очень хороший товар. Доволен, буду покупать ещё раз.",4,1.0,2026-03-13,Клавиатура HyperX Alloy,1,Козлов Алексей,+79517423388
117,"Очень хороший товар. Доволен, буду покупать ещё раз.",4,1.0,2026-03-17,Ноутбук Lenovo IdeaPad 3,10,Иванов Екатерина,+79011103355
118,"Ничего особенного. Обычный товар, как и многие другие.",3,,2026-04-11,Планшет Apple iPad 10,29,Петров Павел,+79467397986
119,"Превосходное качество за свои деньги. Доставили быстро, всё работает отлично.",5,1.0,2026-03-27,Клавиатура HyperX Alloy,4,Козлов Екатерина,+79203234489
120,"Прекрасная покупка, всё как заявлено. Качество отменное.",4,1.0,2026-05-03,Планшет Apple iPad 10,5,Сидоров Ирина,+79828204212
121,"Очень доволен! Качество отличное, доставка быстрая.",4,1.0,2026-04-07,Телевизор LG OLED55C3,20,Козлов Мария,+79503663046
122,"Очень хороший товар. Доволен, буду покупать ещё раз.",4,1.0,2026-04-08,Планшет Apple iPad 10,7,Иванов Михаил,+79525981505
123,"Доволен покупкой, всё работает как надо. Хорошее качество!",4,1.0,2026-04-08,Планшет Apple iPad 10,17,Смирнов Владимир,+79466147581
124,"Сломался через неделю. Деньги на ветер, очень плохо.",2,0.0,2026-03-24,Ноутбук Lenovo IdeaPad 3,29,Петров Павел,+79467397986
125,"Средний товар. Ни плохой, ни хороший, обычный.",3,,2026-04-06,Планшет Apple iPad 10,21,Соколов Светлана,+79206499720
126,"Отличный товар! Качество на высшем уровне, полностью доволен покупкой.",5,1.0,2026-04-24,Телевизор LG OLED55C3,2,Морозов Павел,+79147550634
127,"Замечательная покупка! Пользуюсь уже месяц, никаких нареканий.",5,1.0,2026-04-11,Планшет Apple iPad 10,25,Сидоров Екатерина,+79082465689
128,Превосходно! Давно искал такой товар по хорошей цене.,5,1.0,2026-03-19,Мышь Logitech G502,6,Кузнецов Дмитрий,+79235523669
129,Всё пришло быстро и в отличном состоянии. Товар понравился.,5,1.0,2026-03-12,Колонка JBL Flip 6,18,Зайцев Андрей,+79509242680
130,"Разочарован покупкой. Качество ужасное, не рекомендую.",1,0.0,2026-04-17,Ноутбук Lenovo IdeaPad 3,18,Зайцев Андрей,+79509242680
131,"Сойдёт. Качество нормальное, ничего выдающегося нет.",3,,2026-03-26,Наушники Sony WH-1000XM5,3,Новиков Николай,+79715304572
132,"Рекомендую всем! Быстрая доставка, упаковка целая, товар соответствует описанию.",5,1.0,2026-04-06,Телевизор LG OLED55C3,18,Зайцев Андрей,+79509242680
133,"Отлично! Именно то, что искал. Доволен на все 100%.",5,1.0,2026-03-20,Наушники Sony WH-1000XM5,19,Сидоров Елена,+79023428388
134,"Ничего особенного. Обычный товар, как и многие другие.",3,,2026-04-20,Смартфон Samsung Galaxy A54,14,Морозов Алексей,+79587113790
135,"Кошмар, а не товар. Выброшенные деньги, жалею о покупке.",2,0.0,2026-04-08,Смартфон Samsung Galaxy A54,10,Иванов Екатерина,+79011103355
136,"Так себе. Ожидал лучшего, но и хуже бывает.",3,,2026-04-23,Умные часы Xiaomi Mi Band 8,29,Петров Павел,+79467397986
137,"Супер товар! Полностью соответствует описанию, работает идеально.",4,1.0,2026-04-10,Ноутбук Lenovo IdeaPad 3,22,Морозов Дмитрий,+79387640913
138,"Отличная покупка. Работает без нареканий, качество достойное.",5,1.0,2026-05-08,Клавиатура HyperX Alloy,12,Кузнецов Павел,+79756664789
139,"Работает прекрасно, доволен покупкой. Буду советовать друзьям.",4,1.0,2026-04-17,Веб-камера Logitech C920,29,Петров Павел,+79467397986
140,"Ничего особенного. Обычный товар, как и многие другие.",3,,2026-03-25,Умные часы Xiaomi Mi Band 8,24,Козлов Елена,+79594385357
141,"Великолепный товар, превзошёл ожидания. Советую к покупке!",5,1.0,2026-05-09,Наушники Sony WH-1000XM5,28,Лебедев Михаил,+79435997895
142,"Средний товар. Ни плохой, ни хороший, обычный.",3,,2026-03-30,Смартфон Samsung Galaxy A54,29,Петров Павел,+79467397986
143,Превосходно! Давно искал такой товар по хорошей цене.,5,1.0,2026-04-24,Телевизор LG OLED55C3,6,Кузнецов Дмитрий,+79235523669
144,"Работает прекрасно, доволен покупкой. Буду советовать друзьям.",5,1.0,2026-05-02,Умные часы Xiaomi Mi Band 8,26,Волков Светлана,+79522825665
145,"Великолепный товар, превзошёл ожидания. Советую к покупке!",5,1.0,2026-03-24,Ноутбук Lenovo IdeaPad 3,9,Борисов Светлана,+79297019877
146,"Рекомендую всем! Быстрая доставка, упаковка целая, товар соответствует описанию.",4,1.0,2026-03-30,Мышь Logitech G502,13,Фёдоров Ирина,+79886743066
147,"Очень доволен! Качество отличное, доставка быстрая.",5,1.0,2026-04-06,Мышь Logitech G502,8,Лебедев Павел,+79872766891
148,"Удовлетворительно. Не плохо, но и не хорошо.",3,,2026-04-17,Умные часы Xiaomi Mi Band 8,12,Кузнецов Павел,+79756664789
149,"Отличный товар! Качество на высшем уровне, полностью доволен покупкой.",5,1.0,2026-03-14,Умные часы Xiaomi Mi Band 8,8,Лебедев Павел,+79872766891
150,Разочарование месяца. Качество не соответствует цене совсем.,1,0.0,2026-04-05,Планшет Apple iPad 10,13,Фёдоров Ирина,+79886743066
151,"Купил уже второй раз — всегда доволен. Качество стабильное, цена разумная.",5,1.0,2026-05-10,Планшет Apple iPad 10,28,Лебедев Михаил,+79435997895
152,"Возвращаю товар. Качество ужасное, заявленным не соответствует.",1,0.0,2026-03-26,Клавиатура HyperX Alloy,12,Кузнецов Павел,+79756664789
153,"Очень хороший товар. Доволен, буду покупать ещё раз.",5,1.0,2026-04-29,Клавиатура HyperX Alloy,13,Фёдоров Ирина,+79886743066
154,"Отличный товар! Качество на высшем уровне, полностью доволен покупкой.",5,1.0,2026-04-26,Ноутбук Lenovo IdeaPad 3,11,Лебедев Екатерина,+79202262752
155,"Прекрасная покупка, всё как заявлено. Качество отменное.",4,1.0,2026-05-09,Наушники Sony WH-1000XM5,29,Петров Павел,+79467397986
156,"Прекрасная покупка, всё как заявлено. Качество отменное.",4,1.0,2026-04-19,Смартфон Samsung Galaxy A54,19,Сидоров Елена,+79023428388
157,"Обычный товар, ничем особенно не выделяется среди других.",3,,2026-03-14,Колонка JBL Flip 6,4,Козлов Екатерина,+79203234489
158,Превосходно! Давно искал такой товар по хорошей цене.,4,1.0,2026-04-19,Телевизор LG OLED55C3,12,Кузнецов Павел,+79756664789
159,"Прекрасная вещь! Работает идеально, качество отменное.",4,1.0,2026-04-19,Клавиатура HyperX Alloy,14,Морозов Алексей,+79587113790
160,"Средний товар. Ни плохой, ни хороший, обычный.",3,,2026-03-30,Веб-камера Logitech C920,4,Козлов Екатерина,+79203234489
161,"Прекрасная покупка, всё как заявлено. Качество отменное.",5,1.0,2026-03-18,Смартфон Samsung Galaxy A54,7,Иванов Михаил,+79525981505
162,"Работает прекрасно, доволен покупкой. Буду советовать друзьям.",4,1.0,2026-04-04,Смартфон Samsung Galaxy A54,23,Фёдоров Екатерина,+79034416664
163,"Отлично! Именно то, что искал. Доволен на все 100%.",4,1.0,2026-03-19,Умные часы Xiaomi Mi Band 8,17,Смирнов Владимир,+79466147581
164,"Средний товар. Ни плохой, ни хороший, обычный.",3,,2026-03-28,Ноутбук Lenovo IdeaPad 3,12,Кузнецов Павел,+79756664789
165,Лучший товар в своём классе! Рекомендую без сомнений.,4,1.0,2026-05-07,Веб-камера Logitech C920,22,Морозов Дмитрий,+79387640913
166,"Очень хороший товар. Доволен, буду покупать ещё раз.",5,1.0,2026-04-09,Ноутбук Lenovo IdeaPad 3,11,Лебедев Екатерина,+79202262752
167,"Нравится! Удобный, качественный, буду заказывать ещё.",4,1.0,2026-03-25,Клавиатура HyperX Alloy,24,Козлов Елена,+79594385357
168,"Очень хороший товар. Доволен, буду покупать ещё раз.",5,1.0,2026-04-01,Колонка JBL Flip 6,10,Иванов Екатерина,+79011103355
169,Отличное соотношение цена/качество. Покупкой доволен на 100%.,5,1.0,2026-04-28,Планшет Apple iPad 10,11,Лебедев Екатерина,+79202262752
170,"Замечательная покупка! Пользуюсь уже месяц, никаких нареканий.",5,1.0,2026-03-30,Умные часы Xiaomi Mi Band 8,18,Зайцев Андрей,+79509242680
171,Среднее впечатление. Ожидал немного большего от покупки.,3,,2026-04-24,Колонка JBL Flip 6,14,Морозов Алексей,+79587113790
172,Превосходно! Давно искал такой товар по хорошей цене.,4,1.0,2026-04-22,Наушники Sony WH-1000XM5,22,Морозов Дмитрий,+79387640913
173,"Покупкой очень доволен. Качество хорошее, доставка быстрая.",4,1.0,2026-03-17,Планшет Apple iPad 10,20,Козлов Мария,+79503663046
174,Нормальное качество для этой ценовой категории товаров.,3,,2026-04-15,Смартфон Samsung Galaxy A54,13,Фёдоров Ирина,+79886743066
175,"Нравится! Удобный, качественный, буду заказывать ещё.",5,1.0,2026-04-18,Умные часы Xiaomi Mi Band 8,10,Иванов Екатерина,+79011103355
176,"Покупкой очень доволен. Качество хорошее, доставка быстрая.",4,1.0,2026-04-29,Веб-камера Logitech C920,14,Морозов Алексей,+79587113790
177,Лучший товар в своём классе! Рекомендую без сомнений.,4,1.0,2026-03-14,Мышь Logitech G502,21,Соколов Светлана,+79206499720
178,"Хороший товар, качество соответствует цене. Всем рекомендую.",5,1.0,2026-03-25,Умные часы Xiaomi Mi Band 8,15,Попов Ольга,+79415721339
179,"Пойдёт. Не восторг, но и не разочарование.",3,,2026-03-18,Наушники Sony WH-1000XM5,17,Смирнов Владимир,+79466147581
180,"Купил уже второй раз — всегда доволен. Качество стабильное, цена разумная.",5,1.0,2026-04-01,Планшет Apple iPad 10,22,Морозов Дмитрий,+79387640913
181,"Очень хороший товар. Доволен, буду покупать ещё раз.",5,1.0,2026-05-10,Веб-камера Logitech C920,17,Смирнов Владимир,+79466147581
182,"Купил уже второй раз — всегда доволен. Качество стабильное, цена разумная.",5,1.0,2026-04-02,Умные часы Xiaomi Mi Band 8,11,Лебедев Екатерина,+79202262752
183,"Нравится! Удобный, качественный, буду заказывать ещё.",5,1.0,2026-05-06,Умные часы Xiaomi Mi Band 8,22,Морозов Дмитрий,+79387640913
184,"Очень доволен! Качество отличное, доставка быстрая.",4,1.0,2026-03-17,Наушники Sony WH-1000XM5,26,Волков Светлана,+79522825665
185,"Сломался через неделю. Деньги на ветер, очень плохо.",1,0.0,2026-04-15,Умные часы Xiaomi Mi Band 8,1,Козлов Алексей,+79517423388
186,"Прекрасная вещь! Работает идеально, качество отменное.",4,1.0,2026-04-04,Ноутбук Lenovo IdeaPad 3,16,Зайцев Артём,+79794275709
